id,sequence,code,name,report_name,internal_type,l10n_do_ncf_type,doc_code_prefix,is_vat_required,active
ncf_fiscal_client,10,B,Crédito Fiscal,Factura de Crédito Fiscal,invoice,01,B01,True,TRUE
ncf_consumer_supplier,30,B,Consumo,Factura de Consumo,invoice,02,B02,False,TRUE
ncf_debit_note_client,40,B,Nota de Débito,Nota de Débito,debit_note,03,B03,True,TRUE
ncf_credit_note_client,60,B,Nota de Crédito,Nota de Crédito,credit_note,04,B04,False,TRUE
ncf_informal_supplier,80,B,Comprobante de Compra,Factura de Compra,invoice,11,B11,True,TRUE
ncf_unique_client,90,B,Único Ingreso,Factura de Único Ingreso,invoice,12,B12,False,TRUE
ncf_minor_supplier,100,B,Gasto Menor,Gasto Menor,invoice,13,B13,False,TRUE
ncf_special_client,110,B,Régimen Especial,Factura de Régimen Especial,invoice,14,B14,True,TRUE
ncf_gov_client,120,B,Factura Gubernamental,Factura Gubernamental,invoice,15,B15,True,TRUE
ncf_export_client,130,B,Exportación,Factura de Exportación,invoice,16,B16,True,TRUE
ncf_exterior_supplier,140,B,Pago al Exterior,Factura de Pago al Exterior,invoice,17,B17,False,TRUE
non_fiscal_import_supplier,150,N,Importación,Factura de Importación,invoice,,IMPFalse,TRUE
ecf_fiscal_client,160,E,Crédito Fiscal Electrónica,Factura de Crédito Fiscal Electrónica,invoice,31,E31,True,TRUE
ecf_consumer_supplier,170,E,Consumo Electrónica,Factura de Consumo Electrónica,invoice,32,E32,False,TRUE
ecf_debit_note_client,180,E,Nota de Débito Electrónica,Nota de Débito Electrónica,debit_note,33,E33,True,TRUE
ecf_credit_note_client,190,E,Nota de Crédito Electrónica,Nota de Crédito Electrónica,credit_note,34,E34,True,TRUE
ecf_informal_supplier,200,E,Compras Electrónica,Factura de Compra Electrónica,invoice,41,E41,True,TRUE
ecf_minor_supplier,220,E,Gasto Menor Electrónica,Factura Gasto Menor Electrónica,invoice,43,E43,False,TRUE
ecf_special_client,230,E,Régimen Especial Electrónica,Factura de Régimen Especial Electrónica,invoice,44,E44,True,TRUE
ecf_gov_client,240,E,Factura Gubernamental Electrónica,Factura Gubernamental Electrónica,invoice,45,E45,True,TRUE
ecf_export_client,250,E,Exportación Electrónica,Factura de Exportación Electrónica,invoice,46,E46,True,TRUE
ecf_exterior_supplier,260,E,Pago al Exterior Electrónica,Factura de Pago al Exterior Electrónica,invoice,47,E47,False,TRUE
non_fiscal,99,NF,Sin NCF,Factura Sin Impuesto,invoice,,NF,False,TRUE
