id,ecf_code
base.state_DO_01,010000
base.state_DO_02,020000
base.state_DO_03,030000
base.state_DO_04,040000
base.state_DO_05,050000
base.state_DO_06,060000
base.state_DO_07,070000
base.state_DO_08,080000
base.state_DO_09,090000
base.state_DO_10,100000
base.state_DO_11,110000
base.state_DO_12,120000
base.state_DO_13,130000
base.state_DO_14,140000
base.state_DO_15,150000
base.state_DO_16,160000
base.state_DO_17,170000
base.state_DO_18,180000
base.state_DO_19,190000
base.state_DO_20,200000
base.state_DO_21,210000
base.state_DO_22,220000
base.state_DO_23,230000
base.state_DO_24,240000
base.state_DO_25,250000
base.state_DO_26,260000
base.state_DO_27,270000
base.state_DO_28,280000
base.state_DO_29,290000
base.state_DO_30,300000
base.state_DO_31,310000
base.state_DO_32,320000
